Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
Saudi Arabia,"SAU","GDP (current US$)","NY.GDP.MKTP.CD","189514933333.333","328459608764.111","528207466666.667","693414400000","767951200000"
Saudi Arabia,"SAU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.607","74.4","75.616","77.776","77.596"
Spain,"ESP","Population, total","SP.POP.TOTL","40567864","43653155","46576897","46422303","47359424"
Spain,"ESP","GDP (current US$)","NY.GDP.MKTP.CD","598102854756.08","1154667551775.88","1427989078916.67","1206164777553.12","1289783836971.21"
Spain,"ESP","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","78.9658536585366","80.1707317073171","81.6268292682927","82.8317073170732","82.2317073170732"
Switzerland,"CHE","Population, total","SP.POP.TOTL","7184250","7437115","7824909","8282396","8638167"
Switzerland,"CHE","GDP (current US$)","NY.GDP.MKTP.CD","279216033870.204","418284865884.998","598851027947.721","694118186379.628","741999406005.627"
Switzerland,"CHE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.6804878048781","81.2365853658537","82.2463414634147","82.8975609756098","83"
Turkiye,"TUR","Population, total","SP.POP.TOTL","65425961","69329557","73142150","78218479","83384680"
Turkiye,"TUR","GDP (current US$)","NY.GDP.MKTP.CD","274294623164.043","506314717661.655","776967266305.53","864313810469.009","720338490327.248"
Turkiye,"TUR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.931","73.51","74.964","76.539","76.525"
United Kingdom,"GBR","Population, total","SP.POP.TOTL","58892514","60401206","62766365","65088000","66744000"
United Kingdom,"GBR","GDP (current US$)","NY.GDP.MKTP.CD","1665534876683.31","2543180000000","2485482596184.71","2927911140916.73","2696778386607.65"
United Kingdom,"GBR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.7414634146342","79.0487804878049","80.4024390243902","80.9560975609756","80.331756097561"
United States,"USA","Population, total","SP.POP.TOTL","282162411","295516599","309378227","321815121","331577720"
United States,"USA","GDP (current US$)","NY.GDP.MKTP.CD","10250952000000","13039197000000","15048971000000","18295019000000","21354105000000"
United States,"USA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.6365853658537","77.4878048780488","78.5414634146342","78.690243902439","76.9804878048781"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","20130327","24404567","28284089","33831764","39068979"
Afghanistan,"AFG","GDP (current US$)","NY.GDP.MKTP.CD","3521418059.92345","6203256538.70967","15856668555.8336","19134221644.7325","19955929052.1496"
Afghanistan,"AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","55.005","58.247","60.702","62.27","61.454"
Albania,"ALB","Population, total","SP.POP.TOTL","3089027","3011487","2913021","2880703","2837849"
Albania,"ALB","GDP (current US$)","NY.GDP.MKTP.CD","3584570164.85195","8256658249.8128","12086545641.299","11470171826.9575","15241455556.3737"
Albania,"ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.826","76.427","78.414","78.358","77.824"
Algeria,"DZA","Population, total","SP.POP.TOTL","30903893","33109249","36188236","40019529","44042091"
Algeria,"DZA","GDP (current US$)","NY.GDP.MKTP.CD","54790398570.3282","107046618669.707","177785053939.531","187493855609.345","164873415325.201"
Algeria,"DZA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.576","72.836","74.144","75.159","73.257"
American Samoa,"ASM","Population, total","SP.POP.TOTL","56855","56617","55228","52878","49761"
American Samoa,"ASM","GDP (current US$)","NY.GDP.MKTP.CD","..","500000000","573000000","673000000","721000000"
American Samoa,"ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.443","72.382","72.587","72.654","72.672"
Andorra,"AND","Population, total","SP.POP.TOTL","65685","77421","80706","72174","77380"
Andorra,"AND","GDP (current US$)","NY.GDP.MKTP.CD","1432606188.69324","3161084091.11674","3449925738.86069","2789881258.50362","2891001149.3611"
Andorra,"AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","81.863","83.086","84.197","84.532","79.418"
Angola,"AGO","Population, total","SP.POP.TOTL","16194869","19291161","23294825","28157798","33451132"
Angola,"AGO","GDP (current US$)","NY.GDP.MKTP.CD","9129594970.15301","36970900883.8109","83799474069.7315","90496420506.5957","48501561203.5686"
Angola,"AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.501","52.13","57.242","61.042","63.116"
Antigua and Barbuda,"ATG","Population, total","SP.POP.TOTL","74912","79611","85320","89409","91846"
Antigua and Barbuda,"ATG","GDP (current US$)","NY.GDP.MKTP.CD","901003703.703704","1143896296.2963","1298348148.14815","1437485185.18519","1411637037.03704"
Antigua and Barbuda,"ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.819","75.364","76.701","76.892","77.161"
Armenia,"ARM","Population, total","SP.POP.TOTL","3221100","3146400","3044800","3004600","2961500"
Armenia,"ARM","GDP (current US$)","NY.GDP.MKTP.CD","1911563668.85006","4900469511.10191","9260285755.62424","10553337518.414","12641698583.2152"
Armenia,"ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.8804878048781","73.0756097560976","73.1731707317073","74.8707317073171","73.3756097560976"
Aruba,"ABW","Population, total","SP.POP.TOTL","90588","97635","101838","107906","108587"
Aruba,"ABW","GDP (current US$)","NY.GDP.MKTP.CD","1873452513.96648","2360017318.43575","2453597206.70391","2962907262.56983","2481857122.8401"
Aruba,"ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.939","73.415","74.297","75.405","75.406"
Austria,"AUT","Population, total","SP.POP.TOTL","8011566","8227829","8363404","8642699","8916864"
Austria,"AUT","GDP (current US$)","NY.GDP.MKTP.CD","196181599831.287","313952317330.776","389827789217.634","379546097300.633","434397601557.696"
Austria,"AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","78.1268292682927","79.3317073170732","80.5804878048781","81.190243902439","81.1926829268293"
Azerbaijan,"AZE","Population, total","SP.POP.TOTL","8048600","8391850","9054332","9649341","10093121"
Azerbaijan,"AZE","GDP (current US$)","NY.GDP.MKTP.CD","5272615722.96892","13245421880.834","52909294791.9262","53076235354.746","42693000000"
Azerbaijan,"AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.377","67.71","70.309","72.349","70.312"
"Bahamas, The","BHS","Population, total","SP.POP.TOTL","323835","343894","367478","385346","395863"
